"country","year","launched","foiled","all","population","percentagemuslims","refugees","gdpcap","unemployment","cpi","socialspend","rightwingness","securityspend","troops_in_mw","rwattacks","all_poisson","launched_poisson","nb_all","nb_launched"
"Australia",1993,0,0,0,17667000,1.255,53505,17634.256,10.8739995956421,56.58231,15.547,3.88330006599426,NA,73,NA,0,0,0,0
"Australia",1994,0,0,0,17855000,1.301924,57575,18046.02,9.718999863,57.69677,15.272,3.88330006599426,NA,66,NA,0,0,0,0
"Australia",1995,0,0,0,18072000,1.34806,62145,20319.631,8.468999863,60.36684,16.915001,3.88330006599426,NA,0,NA,2,0,4,0
"Australia",1996,0,0,0,18311000,1.394196,67313,21861.326,8.505999565,61.945671,17.028999,7.60624980926514,NA,0,NA,1,1,0,0
"Australia",1997,0,0,0,18517000,1.4403321,66074,23468.598,8.362000465,62.08498,16.788,7.60624980926514,NA,115,NA,1,0,0,0
"Australia",1998,0,0,0,18711000,1.4864681,69745,21318.965,7.676000118,62.618992,17.621,7.60624980926514,1.51642932816892,115,NA,2,0,0,0
"Australia",1999,0,0,0,18926000,1.532604,64918,20533.035,6.872000217,63.54771,17.249001,7.60624980926514,1.45184441261482,115,NA,0,0,0,0
"Australia",2000,0,0,0,19153000,1.57874,60246,21679.248,6.282999992,66.38031,18.253,7.60624980926514,1.5412741502214,115,NA,0,1,0,0
"Australia",2001,0,0,0,19413000,1.6683968,57895,19490.861,6.742000103,69.305779,17.548,7.60624980926514,1.59389488672899,117,NA,1,0,0,0
"Australia",2002,0,0,0,19651400,1.7580537,59436,20082.482,6.368000031,71.372177,17.356001,7.60624980926514,1.63191669996005,117,NA,2,0,4,0
"Australia",2003,0,0,0,19895400,1.8477105,56258,23447.031,5.928999901,73.322487,17.563999,7.60624980926514,1.63767262574634,1117,NA,0,0,1,0
"Australia",2004,0,1,1,20127400,1.9373673,63476,30430.676,5.394999981,75.040627,17.257999,7.60624980926514,1.60640349707439,967,NA,0,0,0,0
"Australia",2005,0,1,1,20394800,2.027024,64964,33999.242,5.032000065,77.0606,16.709,7.60624980926514,1.63875033870919,980,NA,2,1,1,0
"Australia",2006,0,0,0,20697900,2.1166809,68948,36044.922,4.782000065,79.800323,15.736,7.60624980926514,1.69493085267437,1911,NA,1,0,0,0
"Australia",2007,0,0,0,20827600,2.2063377,22164,40960.055,4.376999855,81.657768,15.895,3.88330006599426,1.67551025088485,1801,NA,0,0,0,0
"Australia",2008,0,0,0,21249200,2.2959945,20919,49601.656,4.234000206,85.210121,17.089001,3.88330006599426,1.67052204309821,2653,NA,1,0,0,0
"Australia",2009,0,1,1,21691700,2.3856514,22548,42772.359,5.56099987,86.719292,16.933001,3.88330006599426,1.71286593796087,1942,NA,0,1,0,0
"Australia",2010,0,0,0,22031750,2.4753082,21805,52022.125,5.210999966,89.250061,16.594,3.88330006599426,1.67257038221911,1905,NA,0,0,0,0
"Australia",2011,0,0,0,22340024,2.564965,23434,62517.832,5.080999851,92.198753,17.052,3.88330006599426,1.67413825528958,2060,NA,1,0,0,0
"Australia",2012,0,0,0,22733465,2.6546218,30083,68012.148,5.223999977,93.824013,17.292999,3.88330006599426,1.66307905906827,2059,NA,1,0,0,0
"Australia",2013,0,0,0,23128129,2.7442787,34503,68150.109,5.662000179,96.122589,17.636,5.34321248531342,1.64469856680826,2005,NA,0,1,0,1
"Australia",2014,1,1,2,23475686,2.8339355,35582,62510.793,6.077000141,98.514053,18.266001,5.34321248531342,1.69118448160502,1486,NA,0,0,1,0
"Australia",2015,1,3,4,23815995,2.9235923,36917,56755.723,6.053999901,100,18.535,6.80312490463257,1.76297664739383,1228,NA,1,0,0,0
"Australia",2016,1,4,5,24190907,2.9452167,42188,49971.133,5.710000038,101.277,17.808001,7.07083320617676,NA,1575,NA,0,0,0,0
"Austria",1993,0,0,0,7905633,3.2620001,57687,24081.527,4.25,66.143417,25.471001,5.10129976272583,NA,464,0,0,1,0,0
"Austria",1994,0,0,0,7936118,3.3937924,40703,25646.701,3.535000086,68.096909,26.323999,5.10129976272583,NA,472,0,0,0,1,0
"Austria",1995,0,0,0,7948278,3.5252221,34385,30325.85,4.347000122,69.624573,26.275999,5.10129976272583,1.49817605299851,468,1,0,1,0,0
"Austria",1996,0,0,0,7959017,3.6566517,89116,29809.076,5.281000137,70.920273,26.399,5.10129976272583,1.49538558157493,497,0,0,0,0,0
"Austria",1997,0,0,0,7968041,3.7880814,84394,26705.479,5.149000168,71.846474,25.854,5.10129976272583,1.49688094387267,823,0,0,0,3,0
"Austria",1998,0,0,0,7976789,3.9195111,80300,27361.875,5.522999763,72.509232,25.632,5.10129976272583,1.48324944342049,653,0,1,0,0,0
"Austria",1999,0,0,0,7992324,4.0509405,82081,27174.297,4.697999954,72.921799,25.954,5.10129976272583,1.49699843875843,628,0,4,0,0,4
"Austria",2000,0,0,0,8011566,4.1823702,15492,24564.459,4.686999798,74.631721,25.688,7.41134977340698,1.41770979981506,903,0,2,0,0,0
"Austria",2001,0,0,0,8042293,4.3761134,14390,24537.514,4.006999969,76.609459,25.750999,7.41134977340698,1.42826385098693,913,0,1,0,1,0
"Austria",2002,0,0,0,8081957,4.5698562,14130,26401.746,4.848999977,77.996368,26.047001,7.41134977340698,1.42740946907146,923,0,0,0,0,0
"Austria",2003,0,0,0,8121423,4.7635994,16109,32222.896,4.778999805,79.05365,26.584999,7.41134977340698,1.42837266541552,382,0,2,1,0,0
"Austria",2004,0,0,0,8171966,4.9573426,17795,36821.52,5.834000111,80.683113,26.329,7.41134977340698,1.44421915800014,372,0,1,0,0,2
"Austria",2005,0,0,0,8227829,5.1510854,21230,38403.133,5.627999783,82.538116,25.952,7.65164995193481,1.37033536904433,673,0,0,0,0,0
