"country","year","launched","foiled","all","population","percentagemuslims","refugees","gdpcap","unemployment","cpi","socialspend","securityspend","troops_in_mw","rwattacks","all_poisson","launched_poisson","nb_all","nb_launched","left_right"
"Austria",1994,0,0,0,7936118,3.393792507,40703,32962.81742,3.535000086,68.096909,26.323999,1.411585803,472,0,0,0,0,0,5.1013
"Austria",1995,0,0,0,7948278,3.525222133,34385,33790.48499,4.347000122,69.624573,26.275999,1.498176053,468,1,1,0,0,0,5.1013
"Austria",1996,0,0,0,7959017,3.656651759,89116,34537.73957,5.281000137,70.920273,26.399,1.495385582,497,0,0,0,0,0,5.1013
"Austria",1997,0,0,0,7968041,3.788081386,84394,35220.88774,5.149000168,71.846474,25.854,1.496880944,823,0,0,0,0,0,5.1013
"Austria",1998,0,0,0,7976789,3.919511012,80300,36442.28823,5.522999763,72.509232,25.632,1.483249443,653,0,1,0,1,0,5.1013
"Austria",1999,0,0,0,7992324,4.050940638,82081,37664.94328,4.697999954,72.921799,25.954,1.496998439,628,0,0,1,0,0,5.1013
"Austria",2000,0,0,0,8011566,4.182370265,15492,38842.89052,4.686999798,74.631721,25.688,1.4177098,903,0,0,0,0,0,7.41135
"Austria",2001,0,0,0,8042293,4.376113321,14390,39184.8086,4.006999969,76.609459,25.750999,1.428263851,913,0,0,0,0,0,7.41135
"Austria",2002,0,0,0,8081957,4.569856378,14130,39636.48261,4.848999977,77.996368,26.047001,1.427409469,923,0,0,0,0,0,7.41135
"Austria",2003,0,0,0,8121423,4.763599435,16109,39815.22195,4.778999805,79.05365,26.584999,1.428372665,382,0,0,1,1,0,7.41135
"Austria",2004,0,0,0,8171966,4.957342491,17795,40651.22662,5.834000111,80.683113,26.329,1.444219158,372,0,0,0,0,0,7.41135
"Austria",2005,0,0,0,8227829,5.151085548,21230,41281.27076,5.627999783,82.538116,25.952,1.370335369,673,0,0,0,1,1,7.65165
"Austria",2006,0,0,0,8268641,5.344828605,25486,42496.35105,5.243000031,83.727951,25.665001,1.358471939,669,0,0,0,0,0,7.65165
"Austria",2007,0,0,0,8295487,5.538571661,30773,43937.71289,4.857999802,85.54364,25.086,1.298357756,664,0,0,0,0,0,5.1013
"Austria",2008,0,0,0,8321496,5.732314718,37557,44440.05589,4.127999783,88.294678,25.514999,1.329345251,724,0,1,1,1,0,5.1013
"Austria",2009,0,0,0,8343323,5.926057775,38906,42655.19213,5.301000118,88.741722,27.466,1.401848231,662,0,0,0,0,0,5.1013
