"iso2c","year","launched","foiled","all","population","all_poisson","launched_poisson","all_nb","launched_nb"
"AF",1990,0,0,0,12412308,0,0,1,0
"AF",1991,0,0,0,13299017,0,0,0,0
"AF",1992,0,0,0,14485546,0,0,0,0
"AF",1993,0,0,0,15816603,0,0,0,0
"AF",1994,0,0,0,17075727,0,0,0,0
"AF",1995,0,0,0,18110657,0,1,0,0
"AF",1996,0,0,0,18853437,0,0,0,0
"AF",1997,0,0,0,19357126,0,0,0,0
"AF",1998,0,0,0,19737765,0,0,0,0
"AF",1999,0,0,0,20170844,0,0,0,0
"AF",2000,0,1,1,20779953,0,0,0,0
"AF",2001,0,4,4,21606988,0,0,0,0
"AF",2002,0,0,0,22600770,0,0,0,0
"AF",2003,0,0,0,23680871,0,0,0,0
"AF",2004,0,0,0,24726684,0,0,0,0
"AF",2005,0,0,0,25654277,0,0,0,0
"AF",2006,0,0,0,26433049,0,0,0,0
"AF",2007,0,1,1,27100536,0,0,0,0
"AF",2008,0,1,1,27722276,0,0,0,0
"AF",2009,3,1,4,28394813,0,0,0,0
"AF",2010,10,0,10,29185507,0,0,0,0
"AF",2011,1,0,1,30117413,0,0,0,0
"AF",2012,4,0,4,31161376,0,0,0,0
"AF",2013,0,0,0,32269589,0,0,0,0
"AF",2014,0,0,0,33370794,0,0,0,0
"AF",2015,0,0,0,34413603,0,0,0,0
"AF",2016,0,0,0,35383128,0,0,0,0
"AL",1990,0,0,0,3286542,0,0,0,0
"AL",1991,0,0,0,3266790,0,0,0,0
"AL",1992,0,0,0,3247039,0,0,0,0
"AL",1993,0,0,0,3227287,0,0,0,0
"AL",1994,0,0,0,3207536,0,0,0,0
"AL",1995,0,0,0,3187784,0,0,1,0
"AL",1996,0,0,0,3168033,0,0,0,0
"AL",1997,0,0,0,3148281,1,0,0,0
"AL",1998,0,0,0,3128530,0,0,0,0
"AL",1999,0,0,0,3108778,0,0,0,0
"AL",2000,0,0,0,3089027,0,0,0,0
"AL",2001,0,0,0,3060173,0,0,0,0
"AL",2002,0,0,0,3051010,0,0,0,0
"AL",2003,0,0,0,3039616,0,0,0,0
"AL",2004,1,0,1,3026939,1,0,0,0
"AL",2005,0,0,0,3011487,0,0,0,0
"AL",2006,0,0,0,2992547,0,0,0,0
"AL",2007,0,0,0,2970017,0,0,0,0
"AL",2008,0,0,0,2947314,0,0,0,0
"AL",2009,0,0,0,2927519,0,0,0,0
